,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,3+ BEDS,4 BEDS,5 BEDS
78,Phillips Landing Apartments,https://www.rentcafe.com/apartments/nc/statesville/phillips-landing-apartments/default.aspx,"501 Phillips Lane,",Statesville,NC,5.00,28625,$915,"$1,075","$1,250",Ask for pricing,"$2,200+","$3,020+","$2,645","$2,695"
79,1301-1305-1309 Byron St,https://www.rentcafe.com/apartments/nc/winston-salem/1301-1305-1309-byron-st/default.aspx,"Byron Street,",Winston-Salem,NC,5.00,27105,$915,$550,"$1,250",Ask for pricing,"$2,200+","$3,020+","$2,645","$2,695"
80,MAA Ayrsley,https://www.rentcafe.com/apartments/nc/charlotte/maa-ayrsley/default.aspx,"9005 Lenox Pointe Drive,",Charlotte,NC,5.00,28273,"$1,258+","$1,448+","$1,803+",Ask for pricing,"$2,200+","$3,020+","$2,645","$2,695"
81,146 E Bell Street,https://www.rentcafe.com/apartments/nc/statesville/146-e-bell-street/default.aspx,"146 E Bell Street,",Statesville,NC,5.00,28677,$800+,"$1,350","$1,803+",Ask for pricing,"$2,200+","$3,020+","$2,645","$2,695"
82,Bedford Market,https://www.rentcafe.com/apartments/nc/raleigh/bedford-market/default.aspx,"1540 Dunn Road,",Raleigh,NC,5.00,27615,$800+,"$1,350","$1,803+",Ask for pricing,"$2,200+","$3,020+","$2,645","$2,695"
83,Forest Wind Apartments,https://www.rentcafe.com/apartments/nc/kernersville/forest-winds-apartments0/default.aspx,"Forest Winds Apts,",Kernersville,NC,5.00,27284,$600,"$1,350","$1,803+",Ask for pricing,"$2,200+","$3,020+","$2,645","$2,695"
84,MAA Chancellor Park,https://www.rentcafe.com/apartments/nc/charlotte/maa-chancellor-park/default.aspx,"8215 University Ridge Drive,",Charlotte,NC,5.00,28213,"$1,183+","$1,503+","$1,638+",Ask for pricing,"$2,200+","$3,020+","$2,645","$2,695"
85,The Pointe At Irving Park,https://www.rentcafe.com/apartments/nc/greensboro/the-pointe-at-irving-park-0/default.aspx,"3100 North Elm Street,",Greensboro,NC,5.00,27408,"$1,183+","$1,503+","$1,638+",Ask for pricing,"$2,200+","$3,020+","$2,645","$2,695"
86,Cinnamon Ridge,https://www.rentcafe.com/apartments/nc/greensboro/cinnamon-ridge1/default.aspx,"18 Sails Way,",Greensboro,NC,5.00,27406,$750,$850,"$1,638+",Ask for pricing,"$2,200+","$3,020+","$2,645","$2,695"
87,Reserve At Arringdon,https://www.rentcafe.com/apartments/nc/morrisville/reserve-at-arringdon/default.aspx,"5710 Arringdon Park Drive,",Morrisville,NC,5.00,27560,"$1,373+","$1,533+",Ask for pricing,Ask for pricing,"$2,200+","$3,020+","$2,645","$2,695"
88,MAA Duke Forest,https://www.rentcafe.com/apartments/nc/durham/maa-duke-forest/default.aspx,"910 Constitution Drive,",Durham,NC,5.00,27705,"$1,388+","$1,498+",Ask for pricing,Ask for pricing,"$2,200+","$3,020+","$2,645","$2,695"
89,MAA 1225,https://www.rentcafe.com/apartments/nc/charlotte/maa-1225/default.aspx,"1225 S Church St,",Charlotte,NC,5.00,28203,"$1,653+","$1,498+",Ask for pricing,"$1,598+","$2,293+","$3,020+","$2,645","$2,695"
90,850 Foxwood PLace,https://www.rentcafe.com/apartments/nc/winston-salem/850-foxwood-place/default.aspx,"850 Foxwood Place,",Winston-Salem,NC,5.00,27127,"$1,653+",$625+,Ask for pricing,"$1,598+","$2,293+","$3,020+","$2,645","$2,695"
91,MAA Legacy Park,https://www.rentcafe.com/apartments/nc/charlotte/maa-legacy-park/default.aspx,"8810 Legacy Park Drive,",Charlotte,NC,5.00,28269,"$1,130+","$1,488+",Ask for pricing,"$1,598+","$2,293+","$3,020+","$2,645","$2,695"
92,"7944 Suttonview Drive Charlotte, NC 28269",https://www.rentcafe.com/apartments/nc/charlotte/7944-suttonview-drive-charlotte-nc-28269-0/default.aspx,"7944 Suttonview Drive,",Charlotte,NC,5.00,28269,"$1,130+","$1,488+",Ask for pricing,"$1,598+","$2,293+","$3,020+","$2,845","$2,695"
93,"328 Woodsboro Place Benson, NC 27504",https://www.rentcafe.com/apartments/nc/benson/328-woodsboro-place-benson-nc-27504/default.aspx,"328 Woodsboro Place,",Benson,NC,5.00,27504,"$1,130+","$1,488+","$1,925","$1,598+","$2,293+","$3,020+","$2,845","$2,695"
94,"2611 White Fence Way High Point, NC 27265",https://www.rentcafe.com/apartments/nc/high-point/2611-white-fence-way-high-point-nc-27265/default.aspx,"2611 White Fence Way,",High Point,NC,5.00,27265,"$1,130+","$1,488+","$1,925","$1,598+","$2,293+","$3,020+","$2,845","$2,695"
95,"8409 Conner Ridge Lane Charlotte, NC 28269",https://www.rentcafe.com/apartments/nc/charlotte/8409-conner-ridge-lane-charlotte-nc-28269/default.aspx,"8409 Conner Ridge Lane,",Charlotte,NC,5.00,28269,"$1,130+","$1,488+","$1,925","$1,598+","$2,293+","$3,020+","$2,045","$2,695"
96,Neuse Town,https://www.rentcafe.com/apartments/nc/raleigh/neuse-town0/default.aspx,"8714 Neuse Town,",Raleigh,NC,5.00,27616,"$1,130+","$1,488+","$1,925","$1,598+","$2,293+","$3,020+","$2,045","$2,695"
97,"Front St, LLC",https://www.rentcafe.com/apartments/nc/burlington/front-st-llc/default.aspx,"286 E Front St.,",BURLINGTON,NC,5.00,27215,"$1,130+","$1,488+","$1,925","$1,598+","$2,293+","$3,020+","$2,045","$2,695"
98,"1204 Crabtree Drive Winston Salem, NC 27127",https://www.rentcafe.com/apartments/nc/winston-salem/1204-crabtree-drive-winston-salem-nc-27127/default.aspx,"1204 Crabtree Drive,",Winston Salem,NC,5.00,27127,"$1,130+","$1,488+","$1,895","$1,598+","$2,293+","$3,020+","$2,045","$2,695"
99,"7362 Mill Ruins Avenue Southwest Concord, NC 28025",https://www.rentcafe.com/apartments/nc/concord/7362-mill-ruins-avenue-southwest-concord-nc-28025/default.aspx,"7362 Mill Ruins Avenue Southwest,",Concord,NC,5.00,28025,"$1,130+","$1,488+","$1,895","$1,598+","$2,293+","$3,020+","$2,645","$2,695"
