,restaurant_name,restaurant_url,restaurant_tag,restaurant_neighborhood,restaurant_address,ratings,review_number,price
210,Mac Tabby Cat Cafe,https://www.yelp.com/biz/mac-tabby-cat-cafe-charlotte-4?sort_by=date_desc,"Themed Cafes,",,"3204 N Davidson St,Charlotte, NC 28205",5,106,$ 
211,Summer House Santa Monica,https://www.yelp.com/biz/summer-house-santa-monica-charlotte-2?sort_by=date_desc,"Wine Bars,Restaurants,Beer Bar,",,,4,32,Unclaimed 
212,Craft City,https://www.yelp.com/biz/craft-city-charlotte-2?sort_by=date_desc,"Cocktail Bars,Latin American,",,"555 S McDowell St,Charlotte, NC 28204",4,11,Unclaimed 
213,Volo Ristorante,https://www.yelp.com/biz/volo-ristorante-charlotte?sort_by=date_desc,"Italian,Wine Bars,Desserts,",,"1039 Providence Rd,Charlotte, NC 28207",4,56,
214,Bang Bang Burgers South End,https://www.yelp.com/biz/bang-bang-burgers-south-end-charlotte?sort_by=date_desc,"American (New),Burgers,",,"235 W Tremont Ave,Ste 101",4.5,245,$$ 
215,Pizzeria Omaggio,https://www.yelp.com/biz/pizzeria-omaggio-charlotte-4?sort_by=date_desc,"Pizza,Italian,",,"1055 Metropolitan Ave,Ste 130",4.5,358,$$ 
216,Lawrence Caribbean Restaurant,https://www.yelp.com/biz/lawrence-caribbean-restaurant-charlotte?sort_by=date_desc,"Caribbean,",,,4,185,$$ 
217,Cabo Fish Taco,https://www.yelp.com/biz/cabo-fish-taco-charlotte?sort_by=date_desc,"Latin American,Mexican,",,"3201 N Davidson St,Charlotte, NC 28205",4,1443,$$ 
218,Condado Tacos,https://www.yelp.com/biz/condado-tacos-charlotte?sort_by=date_desc,"Tacos,",,"1536 Camden Rd,Ste 107",3.5,69,$$ 
219,Moo & Brew,https://www.yelp.com/biz/moo-and-brew-charlotte?sort_by=date_desc,"Beer Bar,Burgers,American (Traditional),",,"1300 Central Ave,Charlotte, NC 28205",4,429,$$ 
220,YAFO Kitchen,https://www.yelp.com/biz/yafo-kitchen-charlotte-5?sort_by=date_desc,"Mediterranean,Middle Eastern,",,"1231A East Blvd,Charlotte, NC 28203",4.5,136,$$ 
221,Moo & Brew,https://www.yelp.com/biz/moo-and-brew-charlotte?sort_by=date_desc,"Beer Bar,Burgers,American (Traditional),",,"1300 Central Ave,Charlotte, NC 28205",4,429,$$ 
222,YAFO Kitchen,https://www.yelp.com/biz/yafo-kitchen-charlotte-5?sort_by=date_desc,"Mediterranean,Middle Eastern,",,"1231A East Blvd,Charlotte, NC 28203",4.5,136,$$ 
223,Famous Toastery Uptown,https://www.yelp.com/biz/famous-toastery-uptown-charlotte?sort_by=date_desc,"Breakfast & Brunch,American (Traditional),Sandwiches,",,"330 S Tryon,Charlotte, NC 28202",4,232,$$ 
224,Xiao Bao,https://www.yelp.com/biz/xiao-bao-charlotte?sort_by=date_desc,"Pan Asian,Thai,",,"1115 N Brevard St,Ste 14",4,46,$$ 
225,Valhalla Pub and Eatery,https://www.yelp.com/biz/valhalla-pub-and-eatery-charlotte?sort_by=date_desc,"Pubs,Breakfast & Brunch,Cocktail Bars,",,"317 S Church St,Charlotte, NC 28202",4,298,Unclaimed 
226,The Artisan's Palate,https://www.yelp.com/biz/the-artisans-palate-charlotte?sort_by=date_desc,"Cafes,Art Galleries,Wine Bars,",,"1218 E 36th St,Ste A",4.5,104,$$ 
227,Dressler's - Charlotte,https://www.yelp.com/biz/dresslers-charlotte-charlotte-2?sort_by=date_desc,"Seafood,Steakhouses,Wine Bars,",,"1100-E Metropolitan Ave,Ste 125-E",4.5,495,$$$ 
228,Roy's Kitchen & Patio,https://www.yelp.com/biz/roys-kitchen-and-patio-charlotte-2?sort_by=date_desc,"Caribbean,American (New),Cajun/Creole,",,"3112 N Davidson St,Charlotte, NC 28205",4,171,$$ 
229,Cloud Southend,https://www.yelp.com/biz/cloud-southend-charlotte?sort_by=date_desc,"Cocktail Bars,Breakfast & Brunch,Tapas Bars,",,,4,5,
230,Sal's Pizza Factory,https://www.yelp.com/biz/sals-pizza-factory-charlotte-4?sort_by=date_desc,"Pizza,",,"2214 Park Rd,Charlotte, NC 28203",4.5,35,Unclaimed 
231,Valhalla Pub and Eatery,https://www.yelp.com/biz/valhalla-pub-and-eatery-charlotte?sort_by=date_desc,"Pubs,Breakfast & Brunch,Cocktail Bars,",,"317 S Church St,Charlotte, NC 28202",4,298,Unclaimed 
232,Wings Over - Charlotte,https://www.yelp.com/biz/wings-over-charlotte-charlotte-4?sort_by=date_desc,"Chicken Wings,Chicken Shop,Sandwiches,",,,4,11,
233,LittleSpoon,https://www.yelp.com/biz/littlespoon-charlotte-3?sort_by=date_desc,"Breakfast & Brunch,American (New),",,"2820 Selwyn Ave,Ste 180",3,360,$$ 
234,Velvet Taco,https://www.yelp.com/biz/velvet-taco-charlotte-3?sort_by=date_desc,"Tacos,American (New),Vegetarian,",,"1115 N Brevard St,Ste 11",4,140,$ 
235,Dean's Italian Steakhouse,https://www.yelp.com/biz/deans-italian-steakhouse-charlotte-2?sort_by=date_desc,"Steakhouses,Italian,Wine Bars,",,"128 E Brooklyn Vlg Ave,Charlotte, NC 28202",4,90,
236,Xiao Bao,https://www.yelp.com/biz/xiao-bao-charlotte?sort_by=date_desc,"Pan Asian,Thai,",,"1115 N Brevard St,Ste 14",4,46,$$ 
237,Old Pineville Premium Pub,https://www.yelp.com/biz/old-pineville-premium-pub-charlotte?sort_by=date_desc,"Wine Bars,American (Traditional),Beer Gardens,",,"4548 Old Pineville Rd,Ste A",4,130,$$ 
238,Estampa Gaucha,https://www.yelp.com/biz/estampa-gaucha-charlotte?sort_by=date_desc,"Steakhouses,Brazilian,",,"401 E Martin Luther King Jr Blvd,Charlotte, NC 28202",4,53,$$$ 
239,Hubee D's,https://www.yelp.com/biz/hubee-ds-charlotte?sort_by=date_desc,"Chicken Wings,Sandwiches,",,"815 Providence Rd,Charlotte, NC 28207",3.5,96,Unclaimed 
240,204 North Kitchen & Cocktails,https://www.yelp.com/biz/204-north-kitchen-and-cocktails-charlotte?sort_by=date_desc,"Cocktail Bars,American (New),Venues & Event Spaces,",,"204 N Tryon,Charlotte, NC 28202",4,475,$$ 
